id,data,time
20103,1486,2023-10-20 10:03:00.330854
20104,1486,2023-10-20 10:03:01.338859
20105,1486,2023-10-20 10:03:01.909872
20106,1486,2023-10-20 10:03:02.909853
20107,1486,2023-10-20 10:03:03.341188
20108,1198,2023-10-20 10:03:04.330850
20109,1198,2023-10-20 10:03:04.909858
20110,1198,2023-10-20 10:03:05.909849
20111,1198,2023-10-20 10:03:06.331848
20112,1198,2023-10-20 10:03:07.338866
20113,1198,2023-10-20 10:03:07.909867
20114,1198,2023-10-20 10:03:08.909850
20115,1198,2023-10-20 10:03:09.339855
20116,1198,2023-10-20 10:03:10.330946
20117,1198,2023-10-20 10:03:10.909849
20118,1198,2023-10-20 10:03:11.909859
20119,1198,2023-10-20 10:03:12.330874
20120,1198,2023-10-20 10:03:13.339609
20121,1198,2023-10-20 10:03:13.909861
20122,1198,2023-10-20 10:03:14.909851
20123,1198,2023-10-20 10:03:15.340843
20124,1198,2023-10-20 10:03:16.331848
20125,1198,2023-10-20 10:03:16.911174
20126,1198,2023-10-20 10:03:17.909853
20127,1198,2023-10-20 10:03:18.330851
20128,1198,2023-10-20 10:03:19.339857
20129,1198,2023-10-20 10:03:19.910678
20130,1198,2023-10-20 10:03:20.909923
20131,1198,2023-10-20 10:03:21.338942
20132,1198,2023-10-20 10:03:22.330844
20133,1198,2023-10-20 10:03:22.909870
20134,1198,2023-10-20 10:03:23.909879
20135,1198,2023-10-20 10:03:24.330884
20136,1198,2023-10-20 10:03:25.338855
20137,1198,2023-10-20 10:03:25.909884
20138,1198,2023-10-20 10:03:26.910037
20139,1198,2023-10-20 10:03:27.338858
20140,1198,2023-10-20 10:03:28.330995
20141,1198,2023-10-20 10:03:28.909962
20142,1198,2023-10-20 10:03:29.911818
20143,1198,2023-10-20 10:03:30.330849
20144,1198,2023-10-20 10:03:31.338880
20145,1198,2023-10-20 10:03:31.909853
20146,1198,2023-10-20 10:03:32.909853
20147,1198,2023-10-20 10:03:33.339212
20148,1198,2023-10-20 10:03:34.330861
20149,1198,2023-10-20 10:03:34.908872
20150,1198,2023-10-20 10:03:35.909873
20151,1198,2023-10-20 10:03:36.331894
20152,1198,2023-10-20 10:03:37.339864
20153,1198,2023-10-20 10:03:37.909873
20154,1198,2023-10-20 10:03:38.909863
20155,1198,2023-10-20 10:03:39.338886
20156,1198,2023-10-20 10:03:40.330890
20157,1198,2023-10-20 10:03:40.909869
20158,1198,2023-10-20 10:03:41.910874
20159,1198,2023-10-20 10:03:42.331882
20160,1198,2023-10-20 10:03:43.338940
20161,1198,2023-10-20 10:03:43.909886
20162,1198,2023-10-20 10:03:44.909866
20163,1198,2023-10-20 10:03:45.338892
20164,1198,2023-10-20 10:03:46.330867
20165,1198,2023-10-20 10:03:46.909869
20166,1198,2023-10-20 10:03:47.910872
20167,1198,2023-10-20 10:03:48.330865
20168,1198,2023-10-20 10:03:49.339069
20169,1198,2023-10-20 10:03:49.913428
20170,1198,2023-10-20 10:03:50.910884
20171,1198,2023-10-20 10:03:51.339885
20172,1198,2023-10-20 10:03:52.331883
20173,1198,2023-10-20 10:03:52.910605
20174,1198,2023-10-20 10:03:53.910011
20175,1198,2023-10-20 10:03:54.330879
20176,1198,2023-10-20 10:03:55.339946
20177,1198,2023-10-20 10:03:55.909883
20178,1198,2023-10-20 10:03:56.910282
